Text,Level
To evaluate software system/application/product/low fidelity prototype/high fidelity prototype by considering different techniques for confirming software quality in laboratory or expert reviews.,C2
Understand how formal methods (FM) help produce high-quality software,C3
Identify which formal methods to use and when,C4
Prove correctness and termination of a simple program using Hoare Logic and weakest precondition calculus,C2
Apply the concepts of standard mathematical logic to produce proofs or refutations of well-formed propositions or arguments phrased in English or in a variety of formal notations (first order logic  discrete mathematics or Hoare Logic).,C2
Explain formal modeling and speciﬁcation languages,C2
Develop formal requirement speciﬁcations,C3
To demonstrate web engineering fundamental concepts especially PHP and Javascripting languages  MySQL database and Joomla content management system (CMS).,C2
To develop web-based applications by using PHP language integrating with MySQL database and Joomla CMS.,C3
To implement the developed web based applications on sites.,C2
Apply the web engineering methodologies for Web application development,C3
Understand the Architecture of Web Development  www  web document  and its LifeCycle,C2
Incorporate best practices in navigation  aesthetics  usability and written content to design websites that give users easy access to the information they seek.,C2
To understand the Server side programming and web application frameworks.,C2
Identify and discuss the security risks of a Web application.,C2
Define the basic principles and concepts as they relate to practical accounting problems,C1
Demonstrate an understanding of the concepts of accrual accounting.,C2
Identify the three types of business activities and how to account for each.,C2
Explain how accounting can be used as a tool to assist in making business decisions.,C2
Interpret various accounting data and appropriately apply basic principles of accounting to the data.,C3
After analyzing case study situations  recommend to management a possible accounting solution,C4
Understand different types of AI agents,C2
Understand the fundamentals of knowledge representation (logic-based  frame-based  semantic nets)  inference and theorem proving (state space search and problem reduction),C2
Apply knowledge representation  and reasoning techniques to real-world problems,C3
Understand and apply various AI search algorithms (uninformed  informed  heuristic  constraint satisfaction),C3
Demonstrate how to build simple knowledge-based systems,C2
Practice/possess programming skills for AI applications using Prolog,C2
Be able to specify problems as logic formulas using Facts and Rules in prolog programs.,C2
Become familiar with the application of logic to logic programming  in particular  be able to write and debug Prolog programs.,C2
Understand the programming concepts of Low level Language and core operations of microprocessor for optimization and control of Computer Systems. ,C2
Emphasis should be given to expose the low-level logic employed for problem solving while using assembly language as a tool. ,C2
Understand the logic bits manipulation operation  can be able to design logic gate,C2
At the end of the course the students should be capable of writing moderately complex assembly language subroutines and interfacing them to any high level language and also can be control any kind of hardware.,C2
To learn the basic knowledge of analytic geometry and their usage. Graphing of linear function.,C1
To learn and apply the applications of limits in graphing.,C3
To learn and apply the knowledge of rates of change or differentiation in real life applications to optimize the solution and graphing of non-linear functions analytically.,C3
To evaluate the elementary level integrals,C4
Impart the basics of communication which will help them communicate more effectively and accurately.,C2
Demonstrate effective individual presentation skills  such as verbal and non-verbal cues and such other techniques which help them manage their anxiety about public speaking.,C3
Participate in group communication effectively and ethically,C3
Deliver short informative & persuasive speeches extemporaneously and pursue lifelong communication skills.,C3
Explain the fundamentals of compilation process that how compilers translate source code to machine executable. ,C2
Understand the parsing techniques  syntax-directed translation schemes and intermediate code generation techniques. ,C2
Utilize tools for language definition and compiler design.,C2
An ability to understand the nature and characteristics of modern computer systems,C2
To become a familiar with typical modern computer architectures,C2
To understand the core hardware technology of computer organization  to understand the current development and trends of the field.,C2
Understand detailed information on the modular based approach for computer components such CPU  memory  cache  IO  DMA Register etc.,C2
Evaluate and analyze latest computer architecture trends such as multi-core and parallel processor based computing with respect to applications.,C4
Demonstrate understanding of mathematical concepts of Integral and Differential Calculus,C2
Apply Calculus to  science and engineering problems ,C3
Use Mathematica  to do Calculus on Computer,C3
Demonstrate an understanding of mathematical concepts of Linear Algebra and solution techniques,C2
Apply Linear Algebra and Differential Equations to solve real world problems. ,C3
Demonstrate an understanding of  concepts of Differential Equations and the solution techniques,C2
Use Mathematica  to solve  System of Linear Equations and Differential Equations,C3
Arrange data on arrays and linked lists using primitive data types and classes.,C2
Develop and use linear data structures  such as stacks and queues  implemented with linked lists or arrays.,C3
Develop and use non-linear data structures  such as trees  including binary search trees and heaps  implemented with linked lists or arrays.,C3
Implement algorithms for the efficient searching and sorting of data.,C3
Ability to define  analyzes  and applies suitable data structures in different scenarios.,C3
To implement and verify basic logic gates ,C2
Design   analyze  and troubleshoot simple combinational circuits,C3
Design and verify sequential circuits for various applications ,C2
To understand the fundamentals of the digital electronics and computer logic.,C2
To implement various techniques/methods to simplify the digital circuits.,C2
To design the basic combinational circuits for various applications.,C3
To analyze the functionality and applications of sequential circuits.,C4
Understand the key concepts of discrete structures such as sets  permutations  relations  graphs and trees.,C2
Apply these concepts to solve computational problems.,C3
Apply mathematical reasoning in order to read  comprehend  and construct mathematical arguments.,C3
Develop mathematical skills by practicing problem solving  modeling  logical reasoning and writing precise proofs.,C3
Design small projects involving discrete structures.,C3
Discuss programming fundamentals.,C2
Apply programming fundamentals.,C3
Analyze different programs to compute the output and identify logical and syntax errors.,C4
Analyze different programming problems.,C4
Provide solutions for different programming problems.,C2
Understand the policies  ethical and legal issues in business,C2
Analyze modern and innovative ideas for sustainable development through the basic knowledge and understanding of entrepreneurship and entrepreneurial process,C4
Understand the challenges in different organizational roles i.e leaders  managers  employees and analyze the importance of teamwork in successful business,C2
Prepare business plan demonstrating the marketing  HR and financial aspects  and needs of the new venture,C3
Students would be able to understand the dogmas of Islam  and concepts and messages behind all the pillars of Islam and use them in different situations.,C2
Students would comprehend the best practical pattern of life of Holy Prophet     Muhammad (S.A.W) in all the spheres / walks of life in order to communicate the message of the messenger effectively ,C2
Students will be able to understand the guidance of Islam with ref to ethical  legal  professional and social matters ,C2
Demonstrate object oriented programming paradigm concepts,C1
Demonstrate concepts of basic constructs of java,C1
Develop console and graphical user interface based applications,C3
Develop database (MS Access) based console or desktop applications,C3
Demonstrate concepts of key software design principles and guidelines,C1
Demonstrate concepts of different architectural styles,C1
Demonstrate concepts of different design patterns and frameworks,C1
Develop SDD for a system and utilizing the concepts learned,C3
An ability to understand the nature and characteristics of modern computer systems,C2
To understand the core hardware technology of computer organization  focusing on current development and trends of the field.,C2
Evaluate and analyze typical integer and float arithmetic representations with Multiply and divide.,C4
Understand the relationship between high level languages and assembly programming implementation and expose the low-level logic employed for problem solving,C2
Student should be able to design logic gates and demonstrate bits manipulation operation. ,C3
Student should be capable of writing moderately complex assembly language subroutines and interfacing them to any high level language and also can be control any kind of hardware.,C2
Describe visual programming  c# language specification  & .NET framework ,C1
Develop console  & windows forms applications ,C3
Describe components ADO.NET and Microsoft Entity framework ,C1
Develop market-oriented windows based applications. ,C3
Design and develop Android device-specific  native applications ,C3
Describe�the components and structure of a mobile development framework (Google�s Android Studio),C1
Integrate database and server-side technologies to provide complete mobile development solutions,C3
Define the scope and importance of technical writing in academic and professional life.,C1
Choose and identify audience types and style of technical writing and write letters  memos  emails  short reports  long reports  proposals  technical instructions and resumes with proper  Formats.,C2
Develop basic concept of research writing and applying referencing tools in reports.,C2
Understand the structure of a blockchain and why/when it is better than a simple distributed database,C2
Analyze the incentive structure in a blockchain based system and critically assess its functions  benefits and vulnerabilities.,C4
Evaluate the setting where a blockchain based structure may be applied  its potential and its limitations,C4
Understand what constitutes a �smart� contract  what are its legal implications and what it can and cannot do now and in the near future.,C2
Analyze to what extent smart and self-executing contracts can benefit automation  governance  transparency and the Internet of Things (IOT),C4
Attain awareness of the new challenges that exist in monetizing businesses around blockchains and smart contracts,C1
Describe and understand the differences between the most prominent blockchain structures and permissioned blockchain service providers  as well as rising alliances and networks,C2
Students would be able to understand the dogmas of Islam  and concepts and messages behind all the pillars of Islam and use them in different situations.,C2
Students would comprehend the best practical pattern of life of Holy   Prophet     Muhammad (S.A.W) in all the spheres / walks of life in order  to communicate the message of the messenger effectively,C2
Demonstrate the basics of communication which will help students communicate more effectively and accurately.,C1
Demonstrate effective individual presentation skills  such as verbal and non-verbal cues and such other techniques which help them manage their anxiety about public speaking.,C3
Participate in group communication effectively and ethically,C3
Deliver short informative & persuasive speeches extemporaneously and pursue lifelong communication skills.,C3
to understand and analyze the algorithms,C4
to write efficient computer programs,C1
to design efficient applied algorithms for computer networking  engineering  medicine  security and other areas,C3
to solve problems using algorithm design strategies in general and estimate the computational limitations,C1
Students will identify how history shapes society and their ethical perspective as well social issue,C2
Students will know the history of Pakistan and track political and constitutional development.,C1
Students will identify the facts of history and its political setup of Pakistan.,C2
Define basic computer terminology,C1
Identify and describe the components of a computer system,C2
Explain the role of system and application software within computers,C2
Describe various storage media  including appropriate use and management,C2
Explain the difference and relationship between data and information,C2
Identify the usage of emerging hardware and software technologies and how they are being used to solve problems and create efficiency,C2
Use the tools like version control  markdown  Git  GitHub  and RStudio.,C1
Understand the programming construct of R  reading data into R  accessing R packages  writing R functions  debugging  profiling R code  and organizing and commenting R code,C2
Retrieve data from the web  APIs  databases and from other various formats and make data �tidy�,C3
Apply data visualize techniques of high-dimensional data for Exploratory Data Analysis,C3
Apply statistical inference using R programming Language,C3
Design and develop Data Products,C3
To understand and implement various techniques / methods for simplification of logic circuits / expressions/truth tables.,C3
Analyze  understand and design combinational circuits and their applications.,C4
Analyze  understand and design sequential circuits and their applications.,C4
Discuss programming fundamentals.,C2
Analyze different programs to compute the output and identify logical and syntax errors.,C4
Apply programming fundamentals to solve programming problems.,C3
Describe fundamental concept of OO analysis and design.,C1
Analyzing systems requirements using OO and UML.,C4
Develop domain model  system sequence diagram  activity diagram  state machine diagram  and to evaluate alternate solutions.,C3
Build from a design model into lower-level details or vice versa.,C2
Develop successful  accurate  and workable deliverables for each of the different phases of the iterative development process based on analysis of a small case study.,C3
Apply GRASP patterns to OO design.,C3
To acquire knowledge of basic concepts of Operating System  components   services and its variants ,C1
To understand fundamental operating system abstractions such as processes  threads  files  semaphores  IPC abstractions  shared memory regions  etc.,C2
To analyze issues of performance and fairness objectives  Deadlocks  avoiding deadlocks.,C4
To apply  basic resource management techniques (scheduling or time management  space management) ,C3
Understand the rationale behind Semantic Web.,C2
Model ontologies using Resource Description Framework (RDF),C3
Design RDF Schemas for ontologies.,C3
Model and design ontologies using Web Ontology Language (OWL).,C3
Understand and reflect on the principles of Ontology Engineering.,C2
To explain software quality engineering concepts that include quality  software quality  software development life cycle  quality factors  processes  techniques  frameworks  models and skills for performing different quality engineering tasks.,C2
To implement the software quality factors and processes in software development life cycle and apply suitable testing techniques  models and frameworks for ensuring the software quality.,C3
To evaluate software system/application/product/low fidelity prototype/high fidelity prototype by considering different techniques for confirming software quality in laboratory or expert reviews.,C4
To understand the logic of mathematical structures. ,C2
To apply logic in the proofs of the propositions.,C3
Define basic computer terminology,C1
Identify and describe the components of a computer system,C1
Explain the role of system and application software within computers,C2
Describe various storage media  including appropriate use and management,C1
Explain the difference and relationship between data and information,C2
Identify the usage of emerging hardware and software technologies and how they are being used to solve problems and create efficiency,C2
To understand netiquettes and security and privacy issues of being online,C2
Define the basic principles and concepts as they relate to practical accounting problems,C1
Demonstrate an understanding of the concepts of accrual accounting.,C2
Discuss and identify the three types of business activities and how to account for each.,C2
Explain how accounting can be used as a tool to assist in making business decisions.,C2
Interpret various accounting data and appropriately apply basic principles of accounting to the data.,C3
After analyzing case study situations  recommend to management a possible accounting solution,C3
To  learn about modern technologies and techniques,C2
Core concepts of agile manifesto and principles,C2
Concepts of extreme programming  Scrum  Crystal  Lean  TDD  FDD  KanBan,C2
How agile differ from traditional  and role of agile design principles,C2
Agile Software development and SQA standards  ,C1
Be able to specify problems as first order logic formulas.,C1
Become familiar with the application of logic to logic programming  in particular  be able to write and debug Prolog programs.,C1
Analyze the asymptotic performance of algorithms.,C4
Demonstrate a familiarity with major algorithms and data structures.,C1
Apply important algorithmic design paradigms and methods of analysis.,C3
Synthesize efficient algorithms in common solution design situations.,C5
Understand the programming concepts of Low level Language and core operations of microprocessor for optimization and control of Computer Systems.,C2
Emphasis should be given to expose the low-level logic employed for problem solving while using assembly language as a tool.,C3
At the end of the course the students should be capable of writing moderately complex assembly language subroutines and interfacing them to any high level language and also can be control any kind of hardware.,C3
Understand the logic bits manipulation operation  can be able to design logic gate,C3
To analyze the behavior of series and parallel circuit.,C4
Explain the construction  working and characteristics of basic electronic devices including p-n junction diodes  zener diodes and their applications in electronic circuits.,C2
T o Explain the construction  working and characteristics of Bipolar Junction Transistors (BJTs) and their applications in electronic circuits.,C2
Construct Series and Parallel Circuits on breadboards and perform electrical measurement to analyze the behavior of Circuits,C3
Build Electronic circuits employing discrete components and carry out measurements of salient Characteristics / performance parameters.,C3
Model the electronic circuits employing discrete components in Multisim Software and carry out simulations to predict the behavior of various performance parameters.,C3
To learn the basic knowledge of analytic geometry and their usage. Graphing of linear function.,C2
To learn and apply the applications of limits in graphing.,C3
To learn and apply the knowledge of rates of change or differentiation in real life applications to optimize the solution and graphing of non-linear functions analytically.,C3
To evaluate the elementary level integrals,C2
To learn the basic concepts of data communications,C2
Understand the Layered Architecture of Computer Networks ,C2
To learn digital signal transmission and encoding techniques,C2
Learn multiplexing techniques,C2
Understand the operation of the main components of computer networks ,C2
Learn various network protocols and algorithms,C2
Be able to understand and design a communication application,C3
Acquire the required skill to design simple computer networks  and,C3
Become familiar with security risks threatening computer networks,C1
to understand how compilers translate source code to machine executable,C2
to utilize tools to automate compiler construction.,C3
to comprehend how to perform parsing (top down and bottom up).,C2
to understand how compilers generate code to manage memory during runtime.,C2
to be familiar with techniques for simple code optimizations.,C1
Understand the key concepts of data warehousing  data mining techniques and online analytical processing (OLAP) and OLTP.,C2
Identify the key processes of data mining  data warehousing and knowledge discovery process.,C2
Apply data mining techniques to solve problems in other disciplines in a mathematical way.,C3
Analyse basic principles and algorithms used in practical data mining and understand their strengths and weaknesses,C4
Design small projects with using data mining tools and techniques.,C3
Understand the basic concept of Linear Algebra and their need in engineering,C2
Application of Linear Algebra for understanding and analysis of different science and engineering problems,C3
Understanding of basic usage of IT tools like matlab in Linear Algebra,C2
Become familiar with breaking down a problem into objects.,C1
Understand Abstract Data Types and operations w.r.t different data structures.,C2
Ability to define  analyzes  and applies suitable data structures in different scenarios.,C4
Understand the time-space tradeoff.,C2
Become proficient at implementing (using JAVA) the most commonly used data structures used by Professional software,C3
Understand fundamental database concepts such as Query Processing  Storage and Buffer Management  Transaction Processing  Query Processor.,C2
Usage of Oracle SQL queries in the development of application programs.,C3
Usage of SQL queries in Oracle and/or MySQL DBMS using various IDE in the development of application programs. ,C3
Understanding Relational Languages: Relation Algebra  Basic RA Operator  Extended Operators of Relational Algebra.,C3
Use latest DBMS software such as Oracle 11g.,C3
Implementing ERD diagrams using real-time database scenario.,C3
Apply Normalization in Database designing process.,C3
to understand the fundamentals of the digital electronics and computer logic.,C2
to implement various techniques/methods to simplify the digital circuits.,C3
to design the basic combinational circuits for various applications.,C3
To understand as well as use the fundamental programming constructs of C/C++  for instance data-types  arrays  strings  and pointers.,C2
To develop programs using the essential programming tools: modularity  selection and repetition,C3
To Apply knowledge of C/C++ constructs to write computer programs in order to model engineering and scientific problems,C3
Understand the policies  ethical and legal issues in business,C2
Analyze modern and innovative ideas for sustainable development through the basic knowledge and understanding of entrepreneurship and entrepreneurial process,C4
Understand the challenges in different organizational roles i.e leaders  managers  employees and analyze the importance of teamwork in successful business,C2
Prepare business plan demonstrating the marketing  HR and financial aspects  and needs of the new venture,C3
Gain insight into the field of HCI and understand its significance.,C2
Understand human cognitive processes and their impact on developing computer-based systems and products.,C2
Understand the HCI design process and possess the ability to adopt a relevant lifecycle.,C2
Gain a conceptual foundation for user-interface design  including design goals  principles  interaction styles and modes.,C2
Apply metaphorical reasoning and conceptual models to user-interface design.,C3
Understand various evaluation techniques and be able to conduct usability testing,C2
Seek fundamental insights and knowledge of OO design and analysis.,C2
Give students hands-on experience of analyzing systems requirements using OO and UML.,C2
To develop domain model  sequence diagram  activity diagram  object model  logical architecture diagrams  and to evaluate alternate solutions.,C3
To establish the relationship between systems requirements and systems design using OO approach.,C3
To build from a design model into lower-level details or vice versa.,C3
To apply the knowledge of object-oriented analysis/design by developing successful  accurate  and workable deliverables for each of the different phases of the iterative development process based on analysis of a small case study.,C3
Apply GRASP and Gang of Four(GoF) patterns to OO design.,C3
Seek fundamental insights and knowledge of Computer Networks.,C2
Give students hands-on experience of making cables  installing connectors in cables using networking equipements ,C3
To develop computer networks from simple to complex using packet tracer,C3
To develop computer network using different networking devices like  switch  router  bridge etc.,C3
To implement different algorithms of the computer networks,C3
To give practical knowledge of the exterior and interior routing protocols,C3
To practically implement the access privileges of the computer network,C3
Understand the basic concepts of Probability and Statistics,C2
Application of Probability and Statistics for understanding and analysis of different science and engineering problems,C3
Understanding of basic usage of modern tools like R  Matlab  Mathematica  in Probability and Statistics,C2
Understanding requirements  stakeholders  & guidelines for writing requirements,C2
Understanding requirements elicitation & prioritization techniques,C2
Documenting software requirements,C2
Understanding software requirements validation techniques,C2
Managing software requirements,C3
To acquaint  students with the basics of reading and writing skills,C1
To enable students to write and read simple expression and their relevant texts.,C2
To provide students with detailed instructions on how to write paragraphs and essays.,C2
To familiarize students with various reading material with an aim to develop their abilities of reading and writing.,C2
To  develop vocabulary and spelling with the constant use of dictionary,C2
Understanding of www  web document  and how information is presented on web.,C2
Selection and application of markup languages for processing  identifying  and presenting information in web pages.,C3
Incorporate best practices in navigation  usability and written content to design websites that give users easy access to the information they seek.,C3
Incorporate aesthetics and formal concepts of layout and organization to design websites that effectively communicate using visual elements.,C3
Apply techniques of responsive web design  including media queries.,C3
Use scripting languages to add interactive components to web pages.,C3
To understand as well as use the fundamental programming constructs of C/C++  for instance datatypes  arrays  strings  and pointers.,C2
To develop programs using the essential programming tools: modularity  selection and repetition,C3
To Apply knowledge of C/C++ constructs to write computer programs in order to model engineering and scientific problems,C3
Students would be able to understand the dogmas of Islam  and concepts and messages behind all the pillars of Islam and use them in different situations.,C2
Students would comprehend the best practical pattern of life of Holy Prophet Muhammad (S.A.W) in all the spheres / walks of life in order to communicate the message of the messenger effectively,C2
Students will be able to understand the guidance of Islam with ref to ethical  legal  professional and social matters,C2
To learn the basic concepts of Mobile Computing,C1
Understand the Architecture of Windows Phone Framework,C2
Understand the Architecture of Android Development Framework,C2
To analyze requirements and recommend particular development architecture.,C4
To Understand industrial standards for Development and team collaboration,C2
To Understand the operation of the main components of Application Development Process ,C2
To Understands Design Patterns related to Mobile Applications ,C2
To practice popular REST based Web Services ,C3
To Learn key considerations of User Interface Design,C2
To Learn Application publication process to the Market and Post Analysis ,C2
Identify requirements and implement mobile solutions,C3
Design and develop Android device-specific  native applications ,C3
Describe�the components and structure of a mobile development framework (Google�s Android Studio),C1
Integrate database and server-side technologies to provide complete mobile development solutions,C3
Address�the limitations and challenges of working in a mobile environment and thus�utilise�the opportunities for commercial and/or social benefit.,C3
Demonstrate�advanced Java programming competency by developing a maintainable and efficient cloud based mobile application,C3
To learn the basic knowledge of advanced differentiation and integrals,C2
To learn and apply the applications of parametric curves and arc length.,C3
To learn and apply the knowledge of vectors and their applications in aeronautical engineering and computer science.,C3
To evaluate the partial derivatives and solving multiple integrals.,C4
Student should know about the object oriented programming,C1
Become familiar with breaking down a problem into objects rather than procedures,C1
Inheritance and polymorphism,C2
Generic programming and interface,C2
Object oriented software development,C3
Learn what is available off the shelf to facilitate Java development (tools  libraries),C2
Graphic user interface  event handling  and animation,C2
Student should have good command over the syntax of JAVA,C2
Student should submit a project designed by him/her-self by properly implementing all the concepts learned during semester,C3
Student would be able to analyze characteristics of different personalities from the history and learn the ways to take effective decisions.,C4
Students will able to learn how to work as team member.,C2
Students would be able to understand the how history shapes society and their ethical perspective as well social issues,C2
Demonstrate an understanding of the fundamental concept of a mathematical function  its properties and classes.,C2
Apply properties of functions and mathematical techniques to solve real world problems.,C3
Demonstrate an understanding of basic trigonometry.,C2
Understand Software Design Principles/Concepts,C2
Understand different Architectural styles.,C2
Understand various software design patterns and frameworks,C2
Able to identify suitable architectural style or styles for a system,C1
Able to apply suitable design patterns,C3
A basic knowledge of software project management principles,C1
The ability to come up with a project schedule and assign resources,C3
Choose an appropriate project development methodology (e.g. waterfall..),C4
Identify project risks  monitor and track project deadlines,C2
The capability to work in a team environment and be aware of different modes of communications,C3
Understand the scope and importance of technical writing in academic and professional life,C2
Understand different types of audience types and style of technical writing and write accordingly,C2
Understanding basic concept of research writing and applying referencing tools in reports,C2
Identify and apply writing process in generating different types of correspondences (e.g.: letters  memos  emails  short reports  long reports  proposals  technical instructions  resumes  and etc.�..),C3
Describe languages mathematically,C1
Understand mathematical models of computation (FA  DFA  NFA  TG),C2
Build computational models (FA  DFA  NFA  TG) to accept or reject defined language,C3
Understand grammars and their applications in current computing,C2
Build computational models (PDA) to accept or reject grammars,C3
Understand Turing Machine,C2
Build some basic TMs ,C3
Understanding visual programming  c# language specification  & .NET framework. ,C2
Understanding development of console  & windows forms applications.,C2
Understanding and usage of VS 2012 to 2017 IDE used for development.,C2
Understanding ADO.NET and Microsoft Entity framework.,C2
Ability to develop market-oriented windows forms applications. ,C3
To learn the basic concepts of Developing Web Apps,C2
Understand the Architecture of Web Development and its lifecycle. ,C2
To analyze requirements and recommend particular development architecture. ,C4
To Understand industrial standards for Development and team collaboration,C2
To Understand the operation of the main components of Application Development Process ,C2
To Understands Design Patterns related to Web App Development,C2
To practice popular REST based Web Services,C3
To Learn key considerations of User Interface Design ,C2
To Learn Application publication process to the Market and Post Analysis ,C2
To learn the Agile Mythologies and incorporate in developing web app.,C2

